"street","district","buildings"
"Долгобродская ул.","Заводской",
"Домашевская ул.","Московский",
"Домашевский 4-й пер.","Московский",
"Домашевский пер.","Московский",
"Дорошевича ул.","Советский",
"Достоевского пер.","Советский",
"Достоевского ул.","Советский",
"Дражненский 1-й пер.","Партизанский",
"Дражненский 2-й пер.","Партизанский",
"Дражненский 3-й пер.","Партизанский",
"Дражня ул.","Партизанский",
"Дружбы ул.","Московский",
"Дружная ул.","Октябрьский",
"Дружская ул.","Октябрьский",
"Друйская ул.","Советский",
"Дубовлянский пер.","Советский",
"Дубравинская ул.","Московский",
"Дубравинский пер.","Московский",
"Дунина- Марцинкевича ул.","Фрунзенский",
"Ельницкая ул.","Заводской",
"Енисейская ул.","Заводской",
"Енисейский 1-й пер.","Заводской",
"Енисейский 2-й пер.","Заводской",
"Енисейский проезд","Заводской",
"Ермака Владимира пер.","Центральный",
"Ермака Владимира ул.","Центральный",
"Есенина ул.","Московский",
"Жасминовая ул.","Партизанский",
"Жданова ул.","Заводской",
"Жебрака Акад. пер.","Фрунзенский",
"Жебрака Акад. ул.","Фрунзенский",
"Железнодорожная ул.","Московский",
"Железнодорожный 1-й пер.","Московский",
"Железнодорожный 2-й пер.","Московский",
"Железнодорожный 3-й пер.","Московский",
"Железнодорожный 4-й пер.","Московский",
"Железнодорожный 5-й пер.","Московский",
"Железнодорожный 6-й пер.","Московский",
"Железнодорожный 7-й пер.","Московский",
"Железнодорожный 8-й пер.","Московский",
"Жилуновича ул.","Заводской",
"Жлобинская ул.","Октябрьский",
"Жодинская ул.","Первомайский",
"Жудро ул.","Фрунзенский",
"Жукова просп.","Московский",
"Жуковского 1-й пер.","Октябрьский",
"Жуковского 2-й пер.","Октябрьский",
"Жуковского проезд","Октябрьский",
"Жуковского ул.","Октябрьский",
"Заборского Архит. ул.","Центральный",
"Заводская ул.","Ленинский",
"Загородный 1-й пер.","Фрунзенский",
"Загородный 2-й пер.","Московский",
"Загородный 3-й пер.","Московский",
"Загородный 4-й пер.","Фрунзенский",
"Заливная ул.","Центральный",
"Замковая ул.","Центральный",
"Западная ул.","Московский",
"Запорожская ул.","Партизанский",
"Запорожский 1-й пер.","Партизанский",
"Запорожский 3-й проезд","Партизанский",
"Запрудная ул.","Центральный",
"Заречанская ул.","Центральный",
"Заречанский пер.","Центральный",
"Заречная ул.","Заводской",
"Заречный 1-й пер.","Заводской",
"Заречный 2-й пер.","Заводской",
"Заречный 3-й пер.","Заводской",
"Заречный тупик","Заводской",
"Заславская ул.","Центральный",
"Заславский пер.","Центральный",
"Заслонова ул.","Первомайский",
