ул. Лобанка 106 	 Фрунзенский
ул. Карла Маркса 21 	 Ленинский
ул. Жилуновича 37 	 Заводской
просп. Победителей 31 	 Центральный
ул. Основателей 11 	 Первомайский
ул. Хмелевского 38 	 Московский
ул. Руссиянова 13 к2 	 Первомайский
ул. Захарова 42 	 Партизанский
ул. Шаранговича 64 	 Фрунзенский
ул. Карла Маркса 40 	 Ленинский
ул. Ландера 82 	 Октябрьский
ул. Тикоцкого 38 	 Первомайский
ул. Воронянского 15 к1 	 Октябрьский
ул. Рафиева 100 	 Московский
ул. Притыцкого 152 	 Фрунзенский
ул. Притыцкого 152 	 Фрунзенский
ул. Притыцкого 152 	 Фрунзенский
ул. Плеханова 117 	 Заводской
ул. Селицкого 67 	 Заводской
ул. Авакяна 28 	 Октябрьский
ул. Авакяна 28 	 Октябрьский
ул. Плеханова 57 	 Заводской
ул. Славинского 19 	 Первомайский
ул. Кунцевщина 32 	 Фрунзенский
ул. Короля 19 	 Московский
ул. Короля 13 	 Московский
ул. Героев 120 Дивизии 19 	 Первомайский
ул. Кунцевщина 32 	 Фрунзенский
ул. Шугаева 17 1 	 Первомайский
ул. Волоха 57 	 Московский
ул. Осипенко 39 	 Центральный
ул. Прушинских 20 	 Ленинский
ул. Матусевича 61 	 Фрунзенский
ул. Клары Цеткин 18 	 Московский
просп. Победителей 73 	 Центральный
ул. Румянцева 13 	 Партизанский
ул. Якубовского 27 	 Фрунзенский
ул. Одинцова 36 1 	 Фрунзенский
ул. Хмелевского 33 	 Московский
ул. Селицкого 67 	 Заводской
ул. Селицкого 67 	 Заводской
ул. Селицкого 67 	 Заводской
ул. Притыцкого 160 	 Фрунзенский
ул. Бурдейного 51 	 Фрунзенский
ул. Матусевича 25 	 Фрунзенский
ул. Искалиева 16 	 Заводской
ул. Карла Либкнехта 127 	 Московский
ул. Шугаева 17 к1 	 Первомайский
ул. Карбышева 11 	 Первомайский
ул. Якубовского 34 	 Фрунзенский
ул. Левкова 18 	 Октябрьский
ул. Пимена Панченко 10А 	 Фрунзенский
просп. Любимова 36 к2 	 Московский
ул. Шишкина 32 	 Заводской
ул. Карбышева 13 	 Первомайский
ул. Гая 32 	 Центральный
ул. Притыцкого 134 	 Фрунзенский
ул. Декабристов 26 	 Московский
ул. Пономаренко 28 	 Фрунзенский
ул. Шаранговича 19 	 Фрунзенский
ул. Алибегова 13 к3 	 Московский
ул. Ландера 38А 	 Октябрьский
ул. Героев 120 Дивизии 8 	 Первомайский
ул. Шаранговича 45 	 Фрунзенский
ул. Пимена Панченко 10А 	 Фрунзенский
просп. Дзержинского 11 	 Московский
просп. Дзержинского 11 	 Московский
ул. Руссиянова 13 к1 	 Первомайский
ул. Лермонтова 49 	 Московский
ул. Селицкого 67 	 Заводской
просп. Пушкина 38 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Якубовского 36 	 Фрунзенский
ул. Гинтовта 10 	 Первомайский
ул. Воронянского 15 к1 	 Октябрьский
ул. Леси Украинки 14 	 Центральный
ул. Селицкого 81 	 Заводской
